commentcontent,credit
第一天下午完成线上支付，第二天下午显示还没发货，而且已经降价，联系客服留言却只有机器人，正想退款快递却敲门了。只好收货了，就当用额外的钱买个耳机吧。 说回手机，颜值很高，手感很好，由于金属机臭，天气冷拿在手上真心像拿块冰一样，贴好的磨砂膜真心不能用，钢化膜已在路上，等贴好了用过再来评价，另外快速启动相机功能挺不错的，赞一个,1
帮别人买的，看了一下，做工还不错，全面屏，625的cpu，3+32的配置，真的很好了，价格不贵，适合老妈老爸使用，年轻人而言，cpu差了，QQ飞车有些卡顿，效果都不能开高，个人而言，至少上660的U,2
给老妈买的，挑选了很久决定就是它啦！红米5p外观就很潮，虽然不是典型全面屏，但是18：9的屏幕的确大了不少。MIUI系统就不用多说了，操作感觉一级棒。就是发货时，送的耳机和手机是分开发的，耳机很快，手机需要再等等，不知道其中有什么猫腻～,1
用了20多天了，来说下感受。首先是很流畅，平常不怎么玩大型游戏，为了测试手机，下了一个仙侠世界，效果快开，基本上没什么卡顿。其次是充电快，剩余30%的电量到充满不到一个小时。然后就是续航时间长，充满电如果不玩游戏和看视频，能用一天半。总体来说，小米手机是一款性价比很高的手机！！！！！,1
还好，虽然指纹解锁有时会时灵时不灵，触屏时有时也会卡顿失效，但总体来说还是不错的，用起来还蛮顺手的，因为不玩游戏等，只需满足一些正常使用就可，总体评价还是不错尼，  有点，为啥收到货时，会唯独少了用户指南尼，这个。。。。这是截屏与拍的像素照尼,2
继帮大舅挑选了红米5之后又给我妈选了这款红米5plus  大屏加续航能力强  最重要的是字体大小可以调至巨无霸  我妈超级满意   黑色颜值高开心~  打王者荣耀和荒野行动不卡顿    本人亲测  就是有一点指纹识别不是很灵敏  送的耳机和手机是不同仓库发货的  定位江西   快递速度依旧慢于楼上那些次日到达的买家  不知道为什么  以前没接触过小米手机  表示现在路转粉了昂,1
小米诞生那年就买过小米1，后面买了小米3，五年之后又买了红米，永远支持小米。收到很不错，很满意,1
帮我爸买的手机 黑色的很好看 用起来挺流畅的 指纹解锁反应也很快 4+64应该也能用个几年了吧 稳定就OK 总体来说不错,1
小米手机的机身严密性。小米手机后盖与机身的严密度可以说比较高的，后盖稳定的结构，使得手机的刚度挺高的，所以握在手上并不会有咯吱咯吱的声响。不过MicroUSB以及3.5mm耳机接口都并没有采用保护设计，所以长时间的防尘性能还有待考验。,1
手机还算满意，用了十天才来评价的。新手机，耗电不快不卡顿，不玩游戏能支撑一天半，充电要两小时左右，触感不是很灵敏，有延迟感，目前发烫现象还不严重，能接受，音效屏幕分辨率和像素都比较差，千来块钱也不必抱太大希望，指纹解锁很快，其他有空再来追加,0
很不错，用的是最小卡，跑去营业厅换了一张，比原来的红米3快很多，不玩游戏，屏幕够大，64G价格能在千元以下更好,1
对比了很多品牌，型号最终选了这款，用了几天才来评价的，总体感觉还不错，颜色喜欢，不玩游戏的情况下电量挺禁用的，两三天充一次，运行速度可以的，中规中矩无大问题。顺丰隔日就到了很赞，就是跟机器人尬聊的感觉不太好。,1
它隔了一天才发货 我等了它好久啊 结果发货的第二天就到了 深圳仓发的货发的顺丰 送了个透明硅胶壳  指纹解锁很快 耗电也很慢 像素其实不是很满意 比我之前的小米四差了点 它这个蓝色和图上的有点区别 偏深一点,1
小米的东西真心不错，以后会继续买,1
非常流畅 还没有使用很强大的游戏挑战 满分吧 这个没有和其他手机的效果比较，一般用的少 速度够快 但充电器看起来有点一般 线太短了，没有以前的线给力。 这个声音确实很给力。低音效果感觉不错。 总体来说很满意吧，小米手机一直在用，物超所值，性价比高。系统内存都强大，以后会一直支持下去。加油。图片就不晒了,1
第一次用小米也不知道怎样，我是听朋友说他用小米好几年了，一直很好用玩游戏也不卡很好用，之前自己一直是用苹果，所以现在想换小米用一下看看怎样，要是好用自己会一直用下去，也想支持一下国货，希望小米越做越强大。,0
物流可以说是非常给力了，2号下午下的单，3号上午就送过来了，还特地用了好多天再评价，屏很大，反应也很灵敏，电池很大，唯一美中不足的是像素比我的vivo手机差点，希望可以用个几年，啦啦啦啦啦啦啦啦啦,2
很不错，懒得上图&hellip;现在拿的就是这台，性能不错，百度了下，小米的MIUI系统貌似不错，总结就是功能挺强大，不过可能会比较复杂，刚好适合学生用嘛，还有一点就是实惠些&hellip;差不多通一功能等级的我看的貌似小米算便宜的了，嗯&hellip;就这些&hellip;总的来说还不错，对了，电量挺强&hellip;虽然是新买的但够我不停得玩一天了差不多,1
这台是给家里人买的，也算是缘分了，小米刚发布第一台红米在官网抢了一台也是给家里人用，因为安卓手机用久了都有通病，所以我大早放弃安卓了，没想到时隔多年又重新买了台红米，其实说真的国产外观配置都挺好的，假如用久不卡的话我想我早就用回国产手机了，支持国产！！！(全面屏拿在手里真心爽),1
外观方面，很好看除了大了点 游戏体验，王者荣耀高配设置全开加QQ加微信后台运行依然流畅且不&ldquo;发烧&rdquo;，我用过的温度最低的手机吧。一局耗电5%左右。 还好没等红米note5，不知道等多久了很失望，等着等着小米7都快出了而且差不了多少钱。。。,1
发的顺丰，第三天就到了！给老爸买的礼物，还没回老家，目测他会喜欢，买的黑色，看着挺大气的，开机试了试通话，性能，都可以。特地下了个王者荣耀玩了一把，不卡顿！希望老爸看到以后，会喜欢?,1
小米良心，主力用iPhone，但基本都会买一部小米备用，双卡就是爽。这部手机能用一年不卡就值。几千块的小苹果都不及一千的小米。唉(??︵??)这世道,1
是红米正品的.颜色非常漂亮是我要的浅蓝色。手机使用非常流畅好用.待机时间经常用能用一天。,1
手机用几天一般，拍照不是很好看，大型游戏运行一般，对于智能机，价格稍微偏高，不知道电池夏天会不会发烫，不过一般来用还可以了。快递物流运了五六天，服务态度垃圾，拿个快递让我等半个小时，快递选邮政是最大败笔！包装简易，让我怀疑是不是官网！,2
今天中午刚收到货。总之物流很快，4号下午下单，6号就到了，颜色很不错，妈妈很喜欢，就是黑色的太容易沾灰了，粘毛毛。没有送贴膜，只有一层保护膜，没有耳机，只有一套充电器。具体是不是正品翻新机也没有测，千元机没必要。自己去的小商店贴的膜，还没有全屏膜。反应也算可以，毕竟是新的刚试手。就是网络连接不是很好，我的苹果信号都杠杠的，小米下载个软件都一直加载中。用过一段时间后会追评的！,2
帮我舅舅买的，他用着很好！质量不错，外观也还行！拍照清晰度中等水平，运行速度很快，电池比较耐用！性价比很高，不愧是国产手机当中的主力军！,1
给老爸买的机子 选的运存3g的  他们这年纪也不玩游戏就聊聊微信 所以够用了 回来后下载东西也确实挺流畅的 像素够用  屏幕挺大  虽说是全面屏 我觉得应该把边框做工再精致些  手感不错 就是觉得稍微大了点 下面晒图是跟iPhone 6 Plus 的比较 大小都差不多  但是没有plus 拿起来笨重 总之还好吧,1
收到已经有几天了，特意用了一段时间才来评价的，先说说刚拿到的时候有点小失望，说的是5.99寸屏，但跟我的Max2相比小太多了，我的是6.44的屏，不过老公说男人用着还行，装兜里也方便。总体来说还行，内存大，运行很顺畅，暂时还没出现卡顿现象,2
屏已经碎了 问客服修需要多少钱 就那憋住说不出个所以然 辣鸡小米 什么保修一年都是假的 问去哪修都说不出个所以然 真是辣鸡 买的时候虚假发货 现在售后还辣鸡 以为自己是谁啊 绝对不会再买,2
一直用小米，小米的铁杆粉丝了，但要吐槽一点西安科技二路的小米售后真差劲，每次有问题去修都是主板问题，起步200元，有一次说手机主板问题，花了460回家用了一个月又坏了，我都懒得去了！还有一次说平板主板坏了，要么修一下280，要么您重新买一个吧，欺负我穷啊！,2
手机不错，米粉的忠实顾客，从小米3到红米3和这个红米5，反正好几个了。用着都还不错?这个手机给妈妈买的，运行速度快，内存也大，电量充足，屏幕够大，美中不足，屏幕显着有点长，很别扭，看喜欢了，可以接受吧！真是评价,1
数据显示上都没到，包裹就到了，先发的手机，再到的耳机，想不到居然手机可以那么快就到了，像素也还好，总体来说挺满意的,1
今年双11才买的小米6体验非常好，快过年了也给家里买个小米，关键实惠系统体验非常好，给家里买的所以不知道有没有瑕疵，家里也没用不知道如何一键换机，相信小米！,1
手机还不错，反应还还行，给我舅舅买的黑色挺适合他的，不过遗憾的就是，只有一个手机和充电器，裸机，没有耳机。,1
之前就打算帮爸爸买个手机，物色了半天觉得这款性价比不错，等了很久都不见有很大力度的促销活动，只好下单了。说一下收到的感受: 外观，的确如描述的一样高大上，大屏，超薄，后面金属磨砂质感，我买的黑色的，看起来比较大气。 电量，有很大一部分是冲着大电量来的，下午收到，晚上把电充满了，点的关机，也不知道没关好还是怎么，一晚上还是收到信息提示音，第二天早上一看，还有25%电量，我就郁闷了，就算没关机，待机状态，一晚耗75%的电有点说不过去吧！只好把省电模式重设了一遍，慢慢观察，这两天每天玩一会儿游戏，然后关机，电倒是没怎么耗。 游戏我只玩王者荣耀，前几天买的钢化膜没到，带着磨砂膜玩的，感觉没我的努比亚z11minis流畅，今天换了贴膜感觉还好。没开高帧和高画质。 物流是发的顺风，我买的时候不优惠，但有耳机，一起到的，很快的样子。 总体来说，这个价位做到这样子算是不错的了，如果只是玩玩微信看看网页，或者玩点儿简单游戏，应该是够用了。何况它还很漂亮！喜欢就买吧。,1
重新设了下电量设置，耗电已经正常了，待机一晚上2%-3%了，开心,1
一直都在用小米手机，质量做工没得说，设计造型也很美观时尚，手感也不错。性能和价格比看参数就会明白，真的不错，一口气又买了两台，一台这个一台5x,1
手机一直用的小米，算是国产中性价比很高的一款，用了一段时间没有问题！运行流畅暂无卡顿，小米千元机也很不错，而且送的东西也很棒，此款手机是小米手机中的翘楚，很满意地一次购物，用了之后感觉一点都不卡，手机电池可以将近待机两天，会推荐朋友过来买的哟~推荐&middot;良心产品~！！！,1
用了一个多月了。拍照确实是差劲，不敢拍了发群上，之前发上去人说了，随便都可以被华为手机秒杀了。这手机有三点还是挺合我心意的，当然我买的高配版的。1，运行速度快不发热。2，电量耐用，正常可以一天多不充。3，全面屏耐看。其他的，至于听音乐感受，个人觉得还可以，没有仔细对比。,2
给我婆婆买的，之前用的红米note，用了好几年了从来没坏过，只是很卡，她说还要换小米的手机，对比了各种数据后，我老公选了这款，性价比确实很高，很好看，屏幕也很大！活动价买的很好,1
很喜欢喜欢，从第一部红米开始我就很喜欢小米手机了，当时的红米用了2年，后面因为不小心把屏幕给爆了??，所以就买了小米4，用了4年，然后屏幕有点花屏，刚好那时小米6发布了，哈哈，手机真的很耐用啊，手机一直都支持小米，小米不倒，支持到老，我相信我打了辣么多字来评论，肯定是忠实米粉了吧，这红米5plus是给我妈买的，等过年再给我爸也买一个??????? 强烈推荐红米5plus，既便宜又实惠，而且性能也不错,1
手机 终于 到手 啦 等了 好长时间 呢 顺丰 没想到 过年 这么慢。不过还是非常不错的。用了整整一天的下来我感觉还是挺顺手的。就是这个手机有点长啊，横屏看视频的时候感觉的比较清楚。手机像素一般般，就是小米识别年龄的功能非常不喜欢呀。另 外 有 同 事 们 说 的 连了 WiFi会 断的 问题 我也 试了 一下，还好。手机触控要是出现不灵的问题你就可以把那个磨砂贴膜给揭了自己再贴一个钢化膜防止碎屏。耳机是真的好物有所值。因为心急问了很多次客服，客服也都及时耐心的解答，给他们点一个赞，辛苦啦。,0
用着非常好，买来很长时间了，一直给忘了评论。手机一直用的小米。这次的千元机真的很划算。指纹解锁也很好用，很灵敏。自拍还带了补光灯，夜间自拍也很亮。屏幕的分辨率真的很高。红米5P大小也合适。本人女生用着感觉一点不厚重，很轻薄。最后，电池续航能力真的好强?！手机图片大家都上传了很多，我就不传了?,1
小米售后?，劳资899手机买的  质量问题不给我保修判定进液体，谁能保证没有一点水能进到手机里，就算进了液体就两个地方？你们工程师是不是脑子有问题？报价维修费797元？能忽悠就忽悠？有图有真相。,2
物流超快，前一天下午拍的第二天早上打电话让去拿的，收到之后很惊喜，这次送了手机壳，机身也超好，超有手感，当时单纯的为了内存买的64G，收到后才发现可以用内存卡，不过还是很满意，美中不足的就是像素没有之前用的小米5好，不过也足够用啦，同事看了以后也买啦，一如既往的支持！！！！！！,1
可以，手机看起来蛮舒服，操作也顺畅，最满意的是屏幕，速度很跟米六比起来差点，喜欢小米，一贯好评！,1
首先，手机的外观符合我的审美，手感也很好。然后系统的用户体验也非常棒，流畅度，功能，都非常满意。然后电池续航，可以说是非常给力了！重度手机患者也能用一天不充电，一个字，稳！手机拍照的话，其实没有想象中的糟糕，还可以，前摄像头有惊喜。后摄像头嘛，没什么好说的，性价比很高。用了一个星期暂时没有什么问题。只是物流比较慢。,1
性价比相当不错的手机，全面屏也就这款价格合理，用了一段时间，反应还是挺快的，屏幕也可以，没打游戏，平时用用足够了！,1
Xiaomi/小米 红米5 plus全面屏骁龙处理器智能拍照手机全面屏手机收到了，用了一段时间才评价，画面大，反应快，也不热，感觉非常好，非常棒！！！！,1
这个是爸爸买来当备用机的手机，小米家的东西是很有好感的，真的是新一代制造行业的领军品牌，价廉物美，用户体验很好，定位是消耗品，用个1-2年不大好用了再换新的，理念还是很好的，1-2年也是更新换代的一个周期了。入手了很多米家的智能家居很好用,1
帮别人买的，当时下单了两个，还没发货立马退了一个，结果还是给我发货了。手机明明发的顺丰，然而在我的订单上显示的确是EMS。导致我拒收后，客服告诉我拒收的不是手机，而是赠送的耳机，手机还要我自己退货，耳机也不给我重发！第一次遇见这么糟心的事，客服也是垃圾，每个客服说法都不一致，还死活不愿意承认自己的问题，交涉了三天总算解决，垃圾透顶！！,2
手机怕冻，冬天在室外不能照相，如果条件可以，建议大家别买这个型号，从桌子上顺腿下去的，都弄得这么惨，如果直接摔的话，我感觉这手机得费，这款质量真的不怎么样，售后除了说抱歉就是抱歉，用二十多天就发现手机怕冻了，而且手机好像有点软，图三是弯的形状,2
比较了很多手机后买的，帮老妈选购的，屏大容量大，符合老妈的要求，颜色也好看，老妈很满意。就看用的时间长短了。,1
程序秒开   速度很快   不玩大游戏   目前使用无卡顿  黑色息屏给人感觉很棒  从小米2s到小米Note到小米5再到红米note红米note3再到红米5 Plus  一路追随小米  希望小米继续优化18:9的全面屏,1
宝贝到了，看了看没啥问题，第一张图是开箱的，第二张开机图，其实我想说你用一个东西裹着手机行不行，就这样运过来，碰着磕着了咋办，刚开始还以为没有手机套的，自己大意了，其实最让我生气的还是物流一个同省发货都可以慢成这样，五天了才到，我之前买的手机外省发货三天就到了，看看这对比，还发什么宅急送我都没怎么听说这个快递，打电话问快递员他爱理不理，说是但我们这边是申通的送货上门，一会儿发申通的号码给我，我去问问，呵呵可是从昨天等到现在一直没发给我，我欠她什么了吗？我说如果今天还不到货我真的生气了，都想骂人了，手机还是没什么问题，一周以后再来追评论，看我的评论绝对真实我可以告诉你想知道的答案&hellip;,1
屏幕大，小米操作界面好看，黑色的机体很流畅，最满意就是它的电量了666。之后怎么样看看再说吧,1
蛮可以的,1
手机是正品，外观很时尚，手感可以，厚度比较理想。性能很不错，不卡，电池容量很足，待机时间很长，性价比超高，内存很大，小米手机真好，因为性价比呀！值得信赖，很好，五分好评！,1
东西一般吧 拍照不是那么清晰 或许是我追求太高了 把我同事的苹果放一起拍照 没有对比没有伤害 其他的还好 运行内存有些作假 4G运行内存 什么都不开 还有1G可用 好的地方就是便宜  反应 比较灵敏  屏也大 声音大 而且电也够 总的来说 有好的地方 也还有不足的地方吧 ,2
新年买来给老妈用的，她很喜欢，什么的她不懂的，都是我给她选择，不过外观和主题UI老妈喜欢的不得了，前置柔光自拍真的特好用，后置相机也很清晰，使用方便。待机时间足够她使用了，这次还给赠了耳机，很实惠。对小米很有好感，希望小米越来越好吧。,1
比想象的漂亮，很喜欢，坐等红米note5，买给奶奶，更希望我以后能抢到小米7，小米是我心中最酷的企业，希望雷布斯大大赌局赢个10亿，不过我有些好奇，董大姐有10亿私人财产吗,1
先不说手机质量啊运行怎么样，毕竟今天才拿到货也无法评价。先只评价一下物流，如图一，就这么简单的直接放进打包盒里面了？一点保护都没有的吗？贫穷限制了我的想象力，无法想象这手机在五六天的途中经历了些什么？再说说这EMS ，这么牛批的EMS 吗？巨他吗慢，慢得我心态炸裂，本来可以早点回家过年，硬是把回家过年的时间给我拖后了！,2
体验下来手机很好用，性价比超高的，物流也很给力，虽然评论有点晚，但是使用下来发现小米系统很人性化，客服人员也很好说话，服务很好，所有担心的问题包括售后服务的问题也很耐心解答，而且就近发货真的很快收到包裹。售后服务也很好，不用担心售后服务没保证，手机质量也很不错。系统优化很好。,1
非常好的手机 还送的小米耳机 手机里面还有手机壳 拿来直接用就可以 样子则很喜欢 大屏看电视很舒服 买的大内存 看电视虽然屏幕的分辨率不是特别清晰 但是毕竟1千多块钱 已经不错 整体满意 希望小米越来越好,1
一直用红米系列的，  用习惯了，  换手机时，  只要登录小米云，数据全部转换过来，  方便，  红米5， 轻巧，大屏，像素高，  主要是快，快，快，  非常完美,1
还凑合事吧 物流不是很快 买了四五个红米手机了  上次买的红米4非常满意 虽然屏幕偏红暖色但是看久了觉得十分显色  这个屏幕颜色有些黄 但是显色度不好 偏浅 没有对比看不出来 但是肉眼看真的显色非常差  玩王者的话有些些卡  千元全屏手机也可以了 电量不是很耐用 当初买的红米4玩了两局王者荣耀才掉百分之二的电 这个就掉的非常快  看有的视频并不是全屏 这个倒也不影响使用,0
用了几天才来评价，不错，性价比很高的智能手机，送给老爸用，老爸很喜欢，物流也很快，和实体店一样东西，网上更优惠，物流速度很快 客服人很好 非常的喜欢  值得推荐！！,1
手机如描述的一样，美观，屏幕清晰，照相效果很好，收到后，试用了下，反应挺快的，电池也很扛用，总的来说，很满意，唯一的缺点就是EMS物流，慢，慢，广东发湖南就五天，与从黑龙江边境，靠近俄罗斯的地方发过来的物流相差一天，这个六天，真的等到花都谢了,1
如图所示,0
双十二官网买给家人用，在外地上班就直接寄给家里了，家人拿到之后拆开也扔那没用，今天年假回家拿出手机我给设置东西看见这样，立即联系客服，就怕用的时候出现什么安全隐患，客服让我去当地的体验店还贴心的跟我说了地址，拿到体验店之后工作人员一脸看不起人并且一口咬定人为破坏，我只想把手机修好怎么坏的不重要，给家里人用就图个省事安全，工作人员差点跟你吵起来，不是我们的产品有问题是你自己弄坏的，我就是要修个手机，来售后修觉得有保障，最后高傲的告诉我现在不接售后，等过完年15拿来，就算到售后也是换主板或者后壳，你修不修就这样，呵呵哒,2
特意用了一段时间来评价的，给物流点个赞，隔天就到了呢。先来说说外观，我觉得并没有网上说的那么丑啊，背面还行，本人之前两个手机都是魅蓝。还有操作也挺好用的，并没有不适应。背面指纹解锁还算快，就有时候不是很灵敏。有时点屏会有点失灵。玩荒野行动是流畅的。应用切换也快。手感不错哈哈哈，只是冬天有点冷哈哈。手机修长。总体来说不错。本来想买魅蓝s6 的，奈何只有3G的，哎，屏幕720p，魅族这次有点让我失望啦，还好小米可以。,1
给老妈买的手机很不错了，老人用这种手机就好了，很容易丢，买太好也是浪费，红米5plus颜值很高啊，手感极好，非常不错了，以前我也是用小米的，现在工作需要只能用256g的了，不错不错老妈很喜欢。,1
红米5p感觉还可以，唯独 充电器和线的质量真的是太差了，跟小作坊做出来的似的！        我的孤独是一座花园。&mdash;&mdash;阿多尼斯,2
给老爸买的，老爸要求不高屏幕大能发发微信啥的就好，用了几天还没有发现什么毛病，还有挺多实用的功能，给家里人买的可以考虑入手?,1
我客观的评价一下。我买的黑色，非常漂亮，屏幕超大，全面屏。对比一下苹果六我之前的手机，我在东北这边，一出门就自动关机所以换了小米，小米不会自动关机，玩起来会热，运行速度很快，比六快但有卡顿的情况，屏幕质感不如苹果，有一个缺点是后台不会自动关，偷偷运行很多。电池很好，电量足。其他都觉得不错。一千多的手机做这样真的不容易，支持支持国产吧。,1
第一次买小米手机，一直知道小米在国产手机中算不错的，但是从来没想过买，之前用的都是荣耀，在我的推荐下全家人换手机都是选荣耀，不过我要说荣耀真的不好用，要不是凡凡代言我根本不知道这个牌子，现在凡凡代言了小米，我换手机第一个想到的就是小米，以后家人买手机的话我也会推荐小米的，这次买的手机比我之前用的同价位的荣耀8青春版照出来的照片效果不要好太多，不过我最喜欢的还是它的外观，很薄很大，等了好几天终于有了玫瑰金，毫不犹豫的下手了哈哈。,1
东西已经收到，评价一下快递，挺迅速的！出乎我的意料！看着样式挺时尚的，屏幕也很大，这就是传说中的全面屏吧，手机的反应跟速度都不错，赠送了硅胶套挺漂亮，唯一有点遗憾就是没蹭钢化膜啊！不错的一次购物！性能过几天再来评价，总体来说物有所值！,1
手机到手了，心情很激动！试玩了一下挺流畅的，唯一不足就是我现在的电话卡装不了，需要剪卡&hellip;&hellip;之前送父母的都是红米手机，见他们用着都可以，自己偶尔也拿他们的机玩玩，所以决定尝试放弃三星和苹果，转用试试，如果可以的话下次再买多一台！,1
除了快递有点慢，但还是在我急用的时候送到了我手中。手机很好，特别适合我们这些学生用，打王者吃鸡都可以开高帧，一点也不卡，感觉货有所值，还在犹豫的赶快下单，绝对不会吃亏，手机瘦长瘦长的，外形很好看，没拍照片，但绝对拿得出手，手机一到就吃了一把鸡。,1
给老人买的，手机电池大，他们很喜欢，最满意的就是快递了，昨天下午下的单。结果今天中午就到了很6有木有！忘小米不忘初心，继续做物美价廉的好产品,1
使用了几天才来评价的，手机性能流畅，屏幕高大上，清晰度没遐思，指纹解锁速度超快，像素也漂亮，性价比很高的一款手机，活动还送了一个耳机，完美。,1
第二部了，个人认为性价比高，全面屏手机最低价位，就图这，而且公司很贴心送了手机套套，手机颜值杠杠的，性能呢，个人够用，好评,1
香港人购买的，红米5plus，壹键就可以装到谷歌市場，各方面表现中规重矩。,0
用电话时没有喀处很顺畅储存量对我来说也很足够的。,1
昨天到的，2号购买4号就到非常给力的顺丰，刚拿到打开就是一冰块，暖了一会开机的，用了一天感觉很好对得起红米这个价位，超高性价比，之前在魅族和红米这几款手机中选了好久，还是选择了红米，内让我失望，从红米Note到红米5P，一如既往的良心货，建议还是购买黑色特别精神。,1
999买的小米5plus，凌晨四点半下单，当天中午14点就到了，神速！收货后外包装完好，看了一下产品，失望了！我的耳机，厂家生产不出来吗？,0
?(^?^)?棒呆！！！顺丰北京发货挺快哒！！用机快半个月乐暂时无卡顿。指纹秒解！手机分身好用！！活动购谢谢赠品蓝色壳和保护膜不过涐没用先放着备用囖！！自己另外买的抗蓝光白色膜和钻壳！！￥?( ????????? )?￥喜欢小米机的亲可以买yo！！,1
